"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"EES4760_HW5_ex_5_4.nlogox"
"Hilltop stopping q experiment"
"09/16/2026 22:43:29:507 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","q","random-start","stop-at-hilltop","noise","real-elevation","[step]","clumping","corridor-width"
"7","0.6","true","true","false","true","37","9.228","462.50012627451474"
"2","0.1","true","true","false","true","27","6.552","1241.9803144455998"
"8","0.7","true","true","false","true","39","8.7","413.7709157812921"
"1","0","true","true","false","true","25","6.972","1302.8584715719956"
"6","0.5","true","true","false","true","28","8.348","573.8513149686211"
"3","0.2","true","true","false","true","34","7.092","1068.836475352278"
"5","0.4","true","true","false","true","29","8.112","713.4852555689928"
"7","0.6","true","true","false","true","38","9.248","461.6340385653794"
"9","0.8","true","true","false","true","31","8.984","361.4595071103223"
"8","0.7","true","true","false","true","40","8.692","413.524070572922"
"4","0.3","true","true","false","true","27","7.42","861.8849539804423"
"2","0.1","true","true","false","true","28","6.58","1234.0469471773013"
"7","0.6","true","true","false","true","39","9.288","461.23431706295906"
"8","0.7","true","true","false","true","41","8.692","413.4142213546836"
"5","0.4","true","true","false","true","30","8.096","709.5652263096378"
"1","0","true","true","false","true","26","6.896","1318.4295036104152"
"3","0.2","true","true","false","true","35","7.164","1075.6308654968811"
"9","0.8","true","true","false","true","32","8.984","360.93302402523676"
"6","0.5","true","true","false","true","29","8.3","571.3997037664793"
"8","0.7","true","true","false","true","42","8.68","413.70739688473157"
"4","0.3","true","true","false","true","28","7.424","859.3739106942475"
"7","0.6","true","true","false","true","40","9.24","460.56775765242355"
"2","0.1","true","true","false","true","29","6.46","1247.4995981761651"
"5","0.4","true","true","false","true","31","8.192","709.1425275678765"
"9","0.8","true","true","false","true","33","8.976","360.20351536645177"
"3","0.2","true","true","false","true","36","7.164","1072.5347544602016"
"1","0","true","true","false","true","27","6.78","1342.5655161596692"
"8","0.7","true","true","false","true","43","8.692","413.8383300896225"
"6","0.5","true","true","false","true","30","8.38","570.3993491688154"
"7","0.6","true","true","false","true","41","9.268","459.896145408419"
